job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Store Associate,15.00,18.00,$,[],2024-04-12T00:37:52Z,14530162,"[{'name': 'Cranberry Township, PA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-e84db4,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.00,21.00,$,[],2024-04-12T00:37:52Z,14530272,"[{'name': 'Ann Arbor, MI'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-3c9108,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Senior Research Scientist - Embedded Security Testing,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-04-25T23:43:47Z,10873352,"[{'name': 'Cluj-Napoca, Romania'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/senior-research-scientist-embedded-security-testing-6392e0,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Drivers Needed in San Francisco,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-03-30T12:18:46Z,14244000,"[{'name': 'San Francisco, CA'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/lyft/drivers-needed-in-san-francisco-7dc049,external,Lyft,11895,muse.com,2024-04-19_13:05:59
Staff Pharmacist FT,60.00,73.00,$,[],2024-04-12T00:44:52Z,14301883,"[{'name': 'The Bronx, NY'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/staff-pharmacist-ft-c4fca0,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Masterarbeit in Automation und Software Engineering,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-01T23:45:19Z,11489051,"[{'name': 'Erlangen, Germany'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/siemens/masterarbeit-in-automation-und-software-engineering-7ca18b,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Dist Suppt Pharmacist PT,60.00,73.00,$,[],2024-04-12T00:50:34Z,13958725,"[{'name': 'Chandler, AZ'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/dist-suppt-pharmacist-pt-7fe386,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Shift Supervisor Trainee,16.00,19.50,$,[],2024-04-12T00:57:48Z,13052385,"[{'name': 'Fort Myers, FL'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-6fcde8,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Dist Suppt Pharmacist FT,60.00,73.00,$,[],2024-04-12T00:47:43Z,14171508,"[{'name': 'Philadelphia, PA'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/dist-suppt-pharmacist-ft-6170dd,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Component Engineer - Power Supply,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-09T17:20:23Z,11593935,"[{'name': 'Bangkok, Thailand'}]",[{'name': 'Science and Engineering'}],senior,https://www.themuse.com/jobs/ciscomeraki/component-engineer-power-supply,external,Cisco Meraki,11799,muse.com,2024-04-19_13:05:59
Pharmacy Technician,16.25,24.00,$,[],2024-04-12T00:55:42Z,13357392,"[{'name': 'Ventura, CA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-cc8612,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
"Senior Marketing Manager, Atellica Solutions - LD North America-Remote US East Coast",_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-06-01T23:45:19Z,11488938,"[{'name': 'Newark, DE'}]",[{'name': 'Advertising and Marketing'}],senior,https://www.themuse.com/jobs/siemens/senior-marketing-manager-atellica-solutions-ld-north-americaremote-us-east-coast-501a49,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Staff Pharmacist PT,60.00,73.00,$,[],2024-04-12T00:57:50Z,14643144,"[{'name': 'Gastonia, NC'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/staff-pharmacist-pt-65512f,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Assurance - Operational and Finance Associate (Senior),_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-05-06T23:45:22Z,11284620,"[{'name': 'Iselin, NJ'}]",[{'name': 'Accounting and Finance'}],senior,https://www.themuse.com/jobs/siemens/assurance-operational-and-finance-associate-senior-f1d7a9,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Store Associate,15.00,18.00,$,[],2024-04-12T00:37:52Z,14545597,"[{'name': 'Durham, NC'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-1941ba,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Store Associate,15.00,19.00,$,[],2024-04-12T00:57:48Z,12984369,"[{'name': 'Phoenix, AZ'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-b6166e,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
Schweißer (w/m/d) Stahlbaugruppen,_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2023-03-15T23:50:16Z,9772471,"[{'name': 'Munich, Germany'}]",[{'name': 'Computer and IT'}],mid,https://www.themuse.com/jobs/siemens/schweier-wmd-stahlbaugruppen,external,Siemens,11913,muse.com,2024-04-19_13:05:59
Store Associate,15.00,18.00,$,[],2024-04-12T00:50:34Z,13946764,"[{'name': 'Dallas, TX'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-bff19d,external,CVS Health,12096,muse.com,2024-04-19_13:05:59
"Sales Engineering, Intern",_NOT_FOUND_,_NOT_FOUND_,_NOT_FOUND_,[],2024-03-14T23:01:47Z,14384685,[{'name': 'Flexible / Remote'}],[{'name': 'Business Operations'}],internship,https://www.themuse.com/jobs/circle/sales-engineering-intern-127e38,external,Circle,15000203,muse.com,2024-04-19_13:05:59
