job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
"Satellite Mechanical Engineer, Harness Design (Starshield)",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-06T10:17:07Z,13930517,"[{'name': 'Redmond, WA'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/spacex/satellite-mechanical-engineer-harness-design-starshield-58cda7,external,SpaceX,15000190,muse.com,2024-03-17 16:27:08
Consumer Investments - Investment Specialist Trainee (Obtain SIE Series 7 66),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-02-10T23:27:03Z,13983669,"[{'name': 'Pennington, NJ'}]",[{'name': 'Account Management'}],mid,https://www.themuse.com/jobs/bankofamerica/consumer-investments-investment-specialist-trainee-obtain-sie-series-7-66-f205f0,external,Bank of America,12145,muse.com,2024-03-17 16:27:08
Store Associate,15.50,19.00,$,[],2024-03-17T12:42:25Z,13586421,"[{'name': 'La Jolla, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-d4b72e,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Senior Electrical Engineer,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-03-28T23:50:09Z,11097905,"[{'name': 'Hoffman Estates, IL'}]",[{'name': 'Science and Engineering'}],senior,https://www.themuse.com/jobs/siemens/senior-electrical-engineer-ce7fae,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:50:30Z,12315630,"[{'name': 'Jackson, MS'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-a698cc,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Store Associate,15.00,17.25,$,[],2024-03-17T12:50:31Z,12302814,"[{'name': 'Gainesville, FL'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-e495c4,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:15:36Z,14370569,"[{'name': 'DeLand, FL'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-05ab30,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Supplier Quality Engineer,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-02T23:41:08Z,11182305,"[{'name': 'Kutná Hora, Czech Republic'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/siemens/supplier-quality-engineer-81867a,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Staff Pharmacist,57.00,70.00,$,[],2024-03-17T12:42:25Z,13617770,"[{'name': 'Lexington, KY'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/staff-pharmacist-dbcd01,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,16.00,19.50,$,[],2024-03-17T12:22:28Z,14147705,"[{'name': 'Dallas, TX'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-70116a,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
