job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Store Associate,15.70,15.70,$,[],2024-03-17T12:42:27Z,13540382,"[{'name': 'San Dimas, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-aa0a17,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,21.00,$,[],2024-03-17T12:39:34Z,13718234,"[{'name': 'Livonia, MI'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-60696c,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Pharmacy Technician  Telepharmacy (Onsite - Store 17714 - Phoenix AZ) - FT,16.00,24.00,$,[],2024-03-17T12:47:56Z,13034388,"[{'name': 'Phoenix, AZ'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-telepharmacy-onsite-store-17714-phoenix-az-ft,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Senior Software Architect(m/f/d),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-01-03T23:34:15Z,10654819,"[{'name': 'Aveiro, Portugal'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/senior-software-architectmfd,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Technician Back End (Production) Omnicare,16.00,23.56,$,[],2024-03-17T12:27:42Z,14102352,"[{'name': 'Clarksburg, WV'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-back-end-production-omnicare-8370fe,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Technical Team Leader - Core Team,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-01-15T23:04:50Z,13681803,"[{'name': 'Paris, France'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/abtasty/technical-team-leader-core-team,external,AB Tasty,11719,muse.com,2024-03-17 16:27:08
Werkstudent*in (w/m/d) im Bereich Finance - Strategic Development and Communication - Trade Finance,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2022-12-16T23:39:03Z,10591478,"[{'name': 'Erlangen, Germany'}]",[{'name': 'Accounting and Finance'}],mid,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-im-bereich-finance-strategic-development-and-communication-trade-finance-e0c555,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,16.75,22.00,$,[],2024-03-17T12:15:37Z,14343707,"[{'name': 'Fresno, CA'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-bec2cd,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,16.00,19.50,$,[],2024-03-17T12:36:12Z,13854735,"[{'name': ""Lee's Summit, MO""}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-4816dd,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,18.82,23.32,$,[],2024-03-17T12:47:59Z,12832005,"[{'name': 'San Francisco, CA'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-d54714,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Fraud Client Service Representative - Retail Banking - Bilingual Spanish - 2nd shift,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-13T23:27:45Z,14374699,"[{'name': 'Phoenix, AZ'}]",[{'name': 'Data and Analytics'}],mid,https://www.themuse.com/jobs/bankofamerica/fraud-client-service-representative-retail-banking-bilingual-spanish-2nd-shift-8f06c0,external,Bank of America,12145,muse.com,2024-03-17 16:27:08
