job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Technician,16.00,16.00,$,[],2024-03-26T11:19:00Z,13905772,"[{'name': 'Kansas City, MO'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-f08de8,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Pharmacy Technician,16.00,24.00,$,[],2024-03-26T11:19:00Z,13905663,"[{'name': 'Bemidji, MN'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-0af30f,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Operational Excellence Leader,"43,700.00","102,000.00",$,[],2024-03-26T11:24:18Z,13694781,"[{'name': 'Indianapolis, IN'}]",[{'name': 'Data and Analytics'}],mid,https://www.themuse.com/jobs/cvshealth/operational-excellence-leader,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Senior Software Architect(m/f/d),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-01-03T23:34:15Z,10654819,"[{'name': 'Aveiro, Portugal'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/senior-software-architectmfd,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Technical Team Leader - Core Team,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-01-15T23:04:50Z,13681803,"[{'name': 'Paris, France'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/abtasty/technical-team-leader-core-team,external,AB Tasty,11719,muse.com,2024-03-26_12:00:00
Operations Manager,17.00,29.00,$,[],2024-03-26T11:19:00Z,13881235,"[{'name': 'Hingham, MA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/operations-manager-852340,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Pharmacy Manager,65.00,81.00,$,[],2024-03-26T11:12:34Z,14124380,"[{'name': 'Rockland, MA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-manager-802395,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Staff Pharmacist FT,60.00,73.00,$,[],2024-03-26T11:21:50Z,13754744,"[{'name': 'Upper Saddle River, NJ'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/staff-pharmacist-ft-9e643d,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Pharmacist - Specialty Pharmacy (closed weekends/holidays),34.76,74.87,$,[],2024-03-26T11:18:59Z,13918073,"[{'name': 'San Antonio, TX'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/pharmacist-specialty-pharmacy-closed-weekendsholidays-f99d13,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Werkstudent*in (w/m/d) im Bereich Finance - Strategic Development and Communication - Trade Finance,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2022-12-16T23:39:03Z,10591478,"[{'name': 'Erlangen, Germany'}]",[{'name': 'Accounting and Finance'}],mid,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-im-bereich-finance-strategic-development-and-communication-trade-finance-e0c555,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Store Associate,15.00,17.25,$,[],2024-03-26T11:26:48Z,13400593,"[{'name': 'Eden, NC'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-1e6393,external,CVS Health,12096,muse.com,2024-03-26_12:00:00
Fraud Client Service Representative - Retail Banking - Bilingual Spanish - 2nd shift,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-13T23:27:45Z,14374699,"[{'name': 'Phoenix, AZ'}]",[{'name': 'Data and Analytics'}],mid,https://www.themuse.com/jobs/bankofamerica/fraud-client-service-representative-retail-banking-bilingual-spanish-2nd-shift-8f06c0,external,Bank of America,12145,muse.com,2024-03-26_12:00:00
Werkstudent*in (w/m/d) Innovation Excellence mit Fokus auf Strategic Foresight,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-02T23:41:08Z,10767265,"[{'name': 'Nürnberg, Germany'}]",[{'name': 'Unknown'}],mid,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-innovation-excellence-mit-fokus-auf-strategic-foresight-079480,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Senior Design Engineer (Low Voltage),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-09T23:40:12Z,11320952,"[{'name': 'York, United Kingdom'}]",[{'name': 'Science and Engineering'}],senior,https://www.themuse.com/jobs/siemens/senior-design-engineer-low-voltage,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Freileitungsmonteur (w/m/d) Fahrleitungs- und Stromversorgungsanlagen,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-01-24T00:42:10Z,10536487,"[{'name': 'Bad Mergentheim, Germany'}]",[{'name': 'Computer and IT'}],mid,https://www.themuse.com/jobs/siemens/freileitungsmonteur-wmd-fahrleitungs-und-stromversorgungsanlagen-c64550,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Mechanical Assembler - 1st Shift,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-26T23:41:35Z,11259124,"[{'name': 'Clayton, NC'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/mechanical-assembler-1st-shift-0a7d96,external,Siemens,11913,muse.com,2024-03-26_12:00:00
Sr. Systems Specialist - Smart Buildings / Automation - Cedar Rapids,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-03T23:45:16Z,11034620,"[{'name': 'Waterloo, IA'}]",[{'name': 'Design and UX'}],senior,https://www.themuse.com/jobs/siemens/sr-systems-specialist-smart-buildings-automation-cedar-rapids-8e652c,external,Siemens,11913,muse.com,2024-03-26_12:00:00
