job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Technician,16.75,24.00,$,[],2024-03-17T12:22:27Z,14186756,"[{'name': 'Greenwich, CT'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-f791b7,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
SSME CT Supply Chain Quality Engineer,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-03T23:44:38Z,11126153,"[{'name': 'Shanghai, China'}]",[{'name': 'Science and Engineering'}],mid,https://www.themuse.com/jobs/siemens/ssme-ct-supply-chain-quality-engineer-18adad,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Elektrofachkräfte (w/m/d) im Schaltschrankbau,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-03-08T23:47:31Z,10976639,"[{'name': 'Nürnberg, Germany'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/siemens/elektrofachkrafte-wmd-im-schaltschrankbau,external,Siemens,11913,muse.com,2024-03-17 16:27:08
SAP Training Specialist (m/f/d),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-20T23:37:51Z,11410614,"[{'name': 'Łódź, Poland'}]",[{'name': 'Software Engineering'}],mid,https://www.themuse.com/jobs/siemens/sap-training-specialist-mfd-01ca50,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:50:29Z,12373425,"[{'name': 'Leland, NC'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-45a890,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
shift supervisor trainee,16.00,18.50,$,[],2024-03-17T12:36:14Z,13812218,"[{'name': 'Austin, TX'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-943878,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
"Nuclear Pharmacist (Hackensack, NJ)",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2022-10-20T23:39:23Z,8594371,"[{'name': 'Hackensack, NJ'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/siemens/nuclear-pharmacist-hackensack-nj-716c0d,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Comprador/a Material Indirecto (Temporal) (m/f/d),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-19T23:38:55Z,11404163,"[{'name': 'Madrid, Spain'}]",[{'name': 'Software Engineering'}],senior,https://www.themuse.com/jobs/siemens/compradora-material-indirecto-temporal-mfd,external,Siemens,11913,muse.com,2024-03-17 16:27:08
"Welder, Rail Manufacturing",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-28T23:34:10Z,10820323,"[{'name': 'Sacramento, CA'}]",[{'name': 'Manufacturing and Warehouse'}],mid,https://www.themuse.com/jobs/siemens/welder-rail-manufacturing,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Intern,16.00,22.00,$,[],2024-03-17T12:36:12Z,13854691,"[{'name': 'Ontario, CA'}]",[{'name': 'Healthcare'}],internship,https://www.themuse.com/jobs/cvshealth/pharmacy-intern-c7bd7e,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
