job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Technician,16.00,19.50,$,[],2024-03-17T12:27:43Z,14099713,"[{'name': 'Lake Charles, LA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-314b93,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
"Merchant Operations Lead, Uber Eats, Germany",NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-01T00:25:23Z,14082903,"[{'name': 'Berlin, Germany'}]",[{'name': 'Data and Analytics'}],senior,https://www.themuse.com/jobs/uber/merchant-operations-lead-uber-eats-germany,external,Uber,61,muse.com,2024-03-17 16:27:08
Systemarchitekt (w/m/d) ETCS Onboard Units,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-03-09T23:53:15Z,10258131,"[{'name': 'Berlin, Germany'}]",[{'name': 'Unknown'}],mid,https://www.themuse.com/jobs/siemens/systemarchitekt-wmd-etcs-onboard-units,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Pharmacy Technician,16.00,24.00,$,[],2024-03-17T12:22:29Z,14147465,"[{'name': 'Troy, NY'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-03bf66,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Portfolio Development Executive (Aerospace Industry),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-03-09T23:53:15Z,10665736,"[{'name': 'Flexible / Remote'}, {'name': 'Mexico City, Mexico'}]",[{'name': 'Sales'}],senior,https://www.themuse.com/jobs/siemens/portfolio-development-executive-aerospace-industry-0379d0,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Community Pharmacist Full-time,60.00,73.00,$,[],2024-03-17T12:36:11Z,13894008,"[{'name': 'Bethlehem, PA'}]",[{'name': 'Healthcare'}],mid,https://www.themuse.com/jobs/cvshealth/community-pharmacist-fulltime-504917,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Servicetechniker:in für Sicherheitsanlagen 80-100%,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-07T23:37:19Z,11155325,"[{'name': 'Zurich, Switzerland'}]",[{'name': 'Unknown'}],mid,https://www.themuse.com/jobs/siemens/servicetechnikerin-fur-sicherheitsanlagen-80100-1fd951,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Senior Banker,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-13T23:27:45Z,14374702,"[{'name': 'Prescott Valley, AZ'}]",[{'name': 'Human Resources and Recruitment'}],senior,https://www.themuse.com/jobs/bankofamerica/senior-banker-ceb5d2,external,Bank of America,12145,muse.com,2024-03-17 16:27:08
Shift Supervisor Trainee,16.00,19.50,$,[],2024-03-17T12:47:59Z,12628746,"[{'name': 'Loganville, GA'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-a9bacf,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Store Associate,15.00,19.00,$,[],2024-03-17T12:48:00Z,12560269,"[{'name': 'Miami, FL'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-f83605,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Associate Counsel,"124,372.50","247,200.00",$,[],2024-03-17T12:15:35Z,14393033,"[{'name': 'Hartford, CT'}]",[{'name': 'Advertising and Marketing'}],mid,https://www.themuse.com/jobs/cvshealth/associate-counsel-178a2c,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
store associate,15.00,18.00,$,[],2024-03-17T12:27:43Z,14099780,"[{'name': 'Merrimack, NH'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-8a2f92,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Store Associate,15.00,18.00,$,[],2024-03-17T12:27:44Z,14102546,"[{'name': 'Tampa, FL'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-12ab35,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Bauleitung (w/m/d) für Nieder- und Mittelspannungsanlagen,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-25T23:39:12Z,11434844,"[{'name': 'Freiburg, Germany'}]",[{'name': 'Arts'}],mid,https://www.themuse.com/jobs/siemens/bauleitung-wmd-fur-nieder-und-mittelspannungsanlagen-faede5,external,Siemens,11913,muse.com,2024-03-17 16:27:08
Store Associate,16.00,19.00,$,[],2024-03-17T12:36:15Z,13772507,"[{'name': 'San Clemente, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-364035,external,CVS Health,12096,muse.com,2024-03-17 16:27:08
Sr. DSP Communication Systems Engineer (Silicon Engineering),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-06T23:05:21Z,14305070,"[{'name': 'Redmond, WA'}]",[],senior,https://www.themuse.com/jobs/spacex/sr-dsp-communication-systems-engineer-silicon-engineering-1984fe,external,SpaceX,15000190,muse.com,2024-03-17 16:27:08
Sr Customer Analytics Manager,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-12-16T00:45:18Z,12521224,"[{'name': 'Tokyo, Japan'}]",[{'name': 'Data and Analytics'}],senior,https://www.themuse.com/jobs/uber/sr-customer-analytics-manager,external,Uber,61,muse.com,2024-03-17 16:27:08
Relationship Banker - Olden Avenue Financial Center,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-12T23:28:43Z,14362856,"[{'name': 'Trenton, NJ'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/bankofamerica/relationship-banker-olden-avenue-financial-center-3d28f3,external,Bank of America,12145,muse.com,2024-03-17 16:27:08
