job_title,min_salary,max_salary,currency,skills,publication_date,id,location,job_categories,experience,html_link,type,company_name,company_id,source,created
Pharmacy Technician,16.00,24.00,$,[],2024-03-25T12:48:50Z,12301447,"[{'name': 'Avon, MA'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-17632c,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Sr. Purchasing Analyst ,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-18T23:06:13Z,14414423,"[{'name': 'El Segundo, CA'}]",[{'name': 'Data and Analytics'}],senior,https://www.themuse.com/jobs/spacex/sr-purchasing-analyst,external,SpaceX,15000190,muse.com,2024-03-26_10:58:15
Operations Manager,17.00,29.00,$,[],2024-03-25T12:40:51Z,13646943,"[{'name': 'Wellesley, MA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/operations-manager-0d902c,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Pharmacy Technician,16.00,24.00,$,[],2024-03-25T12:40:50Z,13718239,"[{'name': 'Prescott Valley, AZ'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-59e857,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Servicetechniker:in für Sicherheitsanlagen 80-100%,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-07T23:37:19Z,11155325,"[{'name': 'Zurich, Switzerland'}]",[{'name': 'Unknown'}],mid,https://www.themuse.com/jobs/siemens/servicetechnikerin-fur-sicherheitsanlagen-80100-1fd951,external,Siemens,11913,muse.com,2024-03-26_10:58:15
Senior Banker,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-13T23:27:45Z,14374702,"[{'name': 'Prescott Valley, AZ'}]",[{'name': 'Human Resources and Recruitment'}],senior,https://www.themuse.com/jobs/bankofamerica/senior-banker-ceb5d2,external,Bank of America,12145,muse.com,2024-03-26_10:58:15
Store Manager In Training,18.50,26.25,$,[],2024-03-25T12:24:20Z,14370234,"[{'name': 'Peabody, MA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-manager-in-training-eb488a,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Shift Supervisor Trainee,16.00,19.50,$,[],2024-03-25T12:35:19Z,13925156,"[{'name': 'Las Vegas, NV'}]",[{'name': 'Human Resources and Recruitment'}],mid,https://www.themuse.com/jobs/cvshealth/shift-supervisor-trainee-88f879,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Pharmacy Technician,16.00,19.50,$,[],2024-03-25T12:32:05Z,14101753,"[{'name': 'Knoxville, TN'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-5fbdd1,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Pharmacy Technician,16.00,24.00,$,[],2024-03-25T12:24:21Z,14357262,"[{'name': 'Hickory Hills, IL'}]",[{'name': 'Healthcare'}],senior,https://www.themuse.com/jobs/cvshealth/pharmacy-technician-5fe4d3,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Store Manager in Training,18.50,28.67,$,[],2024-03-25T12:48:12Z,12373710,"[{'name': 'San Ramon, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-manager-in-training-c5ab1f,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Bauleitung (w/m/d) für Nieder- und Mittelspannungsanlagen,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-05-25T23:39:12Z,11434844,"[{'name': 'Freiburg, Germany'}]",[{'name': 'Arts'}],mid,https://www.themuse.com/jobs/siemens/bauleitung-wmd-fur-nieder-und-mittelspannungsanlagen-faede5,external,Siemens,11913,muse.com,2024-03-26_10:58:15
Sr. DSP Communication Systems Engineer (Silicon Engineering),NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2024-03-06T23:05:21Z,14305070,"[{'name': 'Redmond, WA'}]",[],senior,https://www.themuse.com/jobs/spacex/sr-dsp-communication-systems-engineer-silicon-engineering-1984fe,external,SpaceX,15000190,muse.com,2024-03-26_10:58:15
Operations Manager,19.10,29.00,$,[],2024-03-25T12:18:14Z,14444020,"[{'name': 'Napa, CA'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/operations-manager-593194,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
"HR Business Partner, Manager","63,300.00","139,200.00",$,[],2024-03-25T12:32:06Z,14100071,"[{'name': 'Mount Prospect, IL'}]",[{'name': 'Human Resources and Recruitment'}],senior,https://www.themuse.com/jobs/cvshealth/hr-business-partner-manager-2baaa4,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
Sr Customer Analytics Manager,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-12-16T00:45:18Z,12521224,"[{'name': 'Tokyo, Japan'}]",[{'name': 'Data and Analytics'}],senior,https://www.themuse.com/jobs/uber/sr-customer-analytics-manager,external,Uber,61,muse.com,2024-03-26_10:58:15
Store Associate,15.00,17.25,$,[],2024-03-25T12:43:21Z,13338801,"[{'name': 'Panama City, FL'}]",[{'name': 'Retail'}],senior,https://www.themuse.com/jobs/cvshealth/store-associate-ea856a,external,CVS Health,12096,muse.com,2024-03-26_10:58:15
SSME CT Supply Chain Quality Engineer,NOT_FOUND,NOT_FOUND,NOT_FOUND,[],2023-04-03T23:44:38Z,11126153,"[{'name': 'Shanghai, China'}]",[{'name': 'Science and Engineering'}],mid,https://www.themuse.com/jobs/siemens/ssme-ct-supply-chain-quality-engineer-18adad,external,Siemens,11913,muse.com,2024-03-26_10:58:15
