employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,id
495572,Aldi,None,None,Store Management Apprentice,SS117AJ,8.44,11.83,GBP,20/04/2024,22/11/2021,"One thing's for sure as a Store Management Apprentice in Retail you'll never be bored. Balancing theory with practical store work, you'll be expected to work hard on this three-year programme. There's a real family feel here and we all pitch in as part of a close-knit team. And since there's always loads of support from those around you, ranging from Store Managers to Store Assistants, you'll never feel like you're struggling. In this fast paced...",31,https://www.reed.co.uk/jobs/store-management-apprentice/44780185,44780185
495572,Aldi,None,None,Career Starter Stores,SS117AJ,8.44,8.44,GBP,20/04/2024,03/10/2022,"One thing's for sure as a Career Starter Apprentice in Retail you'll never be bored. Balancing theory with practical store work, you'll be expected to work hard on this one-year programme. There's a real family feel here and we all pitch in as part of a close-knit team. And since there's always loads of support from those around you, ranging from Store Managers to Store Assistants, you'll never feel like you're struggling. In this fast paced env...",14,https://www.reed.co.uk/jobs/career-starter-stores/48391614,48391614
495572,Aldi,None,None,Deputy Manager,SS117AJ,13.25,14.2,GBP,20/04/2024,03/10/2022,"In this incredibly varied role, you'll help manage a store that's better and more successful than ever before. You'll take real pride in maximising sales, ensuring great customer service, minimising costs and optimising operational efficiency. There's real responsibility too. In the absence of the Store Manager and Assistant Store Manager, you'll be fully in charge of the store, gaining valuable experience to help you take your next step in mana...",32,https://www.reed.co.uk/jobs/deputy-manager/48390079,48390079
651115,Vistry Group PLC,None,None,Quantity Surveyor,Brentwood,None,None,None,17/05/2024,04/04/2024,"Role overview ID: 2024-5456 Entity: Vistry Services Region: Vistry Services Department: Commercial Contract Type: Permanent - Full Time Job Location: Brentwood, Essex Date Posted: 04.04.2024 We have a fantastic opportunity for a Quantity Surveyor to join our team within Vistry Services. As our Quantity Surveyor working within our wider Commercial, Estimating and Buying team you will deliver a range of cost control and financial reporting duties ...",0,https://www.reed.co.uk/jobs/quantity-surveyor/52425155,52425155
495572,Aldi,None,None,Store Management Apprentice,CM13FJ,8.44,11.83,GBP,20/04/2024,10/08/2021,"One thing's for sure as a Store Management Apprentice in Retail you'll never be bored. Balancing theory with practical store work, you'll be expected to work hard on this three-year programme. There's a real family feel here and we all pitch in as part of a close-knit team. And since there's always loads of support from those around you, ranging from Store Managers to Store Assistants, you'll never feel like you're struggling. In this fast paced...",15,https://www.reed.co.uk/jobs/store-management-apprentice/43657124,43657124
343210,Booker Group,None,None,Butchery Manager,SS69RL,None,None,None,04/05/2024,27/03/2024,"About the role We are looking for experienced Butchers to run our Butchery Departments like their own business. This is an exciting role where you will work with customers to develop their business, understand your local market and provide them with great service. This role gives you the flexibility to run a butchery business without the financial risk. We want someone who has good product knowledge of all meat proteins, who is self-motivated wi...",1,https://www.reed.co.uk/jobs/butchery-manager/52387569,52387569
404912,Dreams Ltd,None,None,Assistant Store Manager,SS26FW,22884.0,22884.0,GBP,17/05/2024,04/04/2024,"About us: At Dreams, we know your bed is the best place in the whole world. But for the hours between precious sleep, we`d like to make work a special place to be too. We`re the UK`s most loved bed retailer, so it`s important our people feel the love as well. Together we`ve been making bedtimes better since 1985, with no signs of hitting the snooze button. We`re owned by the world`s largest bedding provider, Tempur Sealy, and sell 14,000 mattres...",6,https://www.reed.co.uk/jobs/assistant-store-manager/52424703,52424703
495572,Aldi,None,None,Store Assistant,SS26AH,12.0,12.95,GBP,20/04/2024,16/08/2021,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",480,https://www.reed.co.uk/jobs/store-assistant/43708171,43708171
495572,Aldi,None,None,Store Assistant Fixed Term,SS26AH,12.0,12.0,GBP,20/04/2024,16/08/2021,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environmen...",287,https://www.reed.co.uk/jobs/store-assistant-fixed-term/43708169,43708169
428645,Venn Group,None,None,Traffic Marshall,Chelmsford,None,None,None,07/05/2024,08/04/2024,"Traffic Marshall Recruitment Agency reference: CQL – 878097 Venn Group are recruiting for a Traffic Marshall to work&nbsp;within a leading engineering company on a Rail project. This is a key role assisting the engineering team on a 4-week basis. The successful candidate should have: CPCS/NPORS If you are interested in this position or would like to find out more about similar roles please contact Alex Tresnan , Dan Ashcroft or Charlotte Lewis o...",5,https://www.reed.co.uk/jobs/traffic-marshall/52439634,52439634
