jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
52260516,645064,HUNTER MASON CONSULTING LIMITED,,,Construction Administrator - Roofing,Lewes,25000.0,35000.0,GBP,18/04/2024,06/03/2024,"Job Title: Construction Administrator - Roofing Location: Lewes Salary: 25,000 - 35,000 per annum (dependant on experience) About the company: My client is a dynamic roofing company located near Lewes, established in the 1990s. They are passionately committed to social responsibility, championing both environmental conservation and social welfare. They strive to diminish their footprint on resources, uplift communities, satisfy clients, support ... ",5,https://www.reed.co.uk/jobs/construction-administrator-roofing/52260516
51793537,532582,BROOKE HARRISON RECRUITMENT LIMITED ,,,Trainee Mortgage Advisor,Horwich,25500.0,45000.0,GBP,18/04/2024,13/12/2023,"Trainee Mortgage Adviser 25,500 Uncapped Commission CeMAP Funding We are currently on the hunt for a Trainee Mortgage Adviser to join a fast-growing mortgage business based at their state-of-the-art offices in Horwich. The business is well established and growing, with a leading reputation within the mortgage world for being one of the best in class. The successful Trainee Mortgage Adviser will be joining a high performing team with hot leads pr... ",26,https://www.reed.co.uk/jobs/trainee-mortgage-advisor/51793537
52314036,145385,Bond Williams,,,"HR Officer - Poole - up to £35,000",Poole,28000.0,35000.0,GBP,26/04/2024,14/03/2024,"HR Officer - Poole - up to 35,000 (DOE) Are you a HR professional seeking a new challenge? Do you have a natural flare with people and a sociable nature? If so, keep reading to learn more about this exciting opportunity! What you'll be doing: As the HR Officer your responsibilities will include managing a wide range of HR administrative tasks, as well as enforcing our company's policies, procedures, and goals. Furthermore, you will play a crucia... ",3,https://www.reed.co.uk/jobs/hr-officer-poole-up-to-35000/52314036
52314035,576307,Link3 Recruitment Limited,,,Early Years Practitioner,Tamworth,11.0,13.0,GBP,26/04/2024,14/03/2024,"Link3 Recruitment is seeking an enthusiastic and dedicated Early Years Practitioner who is committed to delivering top-quality childcare and education for children at our nursery in Tamworth. Key Job Details: This Early Years Practitioner role is permanent and starts immediately. We are looking for a passionate and energetic individual who will innovate and elevate standards in childcare and education. A good sense of humor, along with the abili... ",2,https://www.reed.co.uk/jobs/early-years-practitioner/52314035
52260514,524744,Hays Specialist Recruitment Limited,,,1:1 Teaching Assistant,Cirencester,80.0,90.0,GBP,18/04/2024,06/03/2024,"The AgencyHays is one of the market-leading agencies in the Education sector in Cirencester and is currently actively recruiting for 1:1 Teaching Assistant jobs to assist with a rising demand for supply staff. Hays has built long-lasting relationships with local primary and reception schools in Cirencester and has a commitment to getting the right candidate in the right schools, with a number of jobs being registered every week. What you will be... ",0,https://www.reed.co.uk/jobs/11-teaching-assistant/52260514
52314034,509989,Distinct Recruitment,,,Brand & Communications Officer 12 month FTC,CV230UY,34900.0,36800.0,GBP,26/04/2024,14/03/2024,"Within this role, you will be responsible for developing and enhancing the brand’s visibility and presence. You will become a brand ambassador creating content, managing media relations, and helping to deliver company plans. This role will certainly allow you to make an impact as it’s working for a charity, so if you’re keen to be part of a role where you have an opportunity to make a genuine difference, this could be a great fit for you.&nbsp; ... ",1,https://www.reed.co.uk/jobs/brand-communications-officer-12-month-ftc/52314034
52260513,575264,Reed,,,Nursery - Level 3 Nursery Nurse,W53RJ,16000.0,28000.0,GBP,07/04/2024,06/03/2024,"Level 3 Nursery Nurse Location: Ealing Job Type: Full-time/Part-time, Permanent We are seeking a dedicated Level 3 Nursery Nurse to join our all-year-round nursery in Ealing. The role involves working on a rota basis between the hours of 8am and 6pm. This is a fantastic opportunity for individuals who are passionate about childcare and are committed to personal development within the field. Day-to-day of the role: Provide high-quality care and e... ",0,https://www.reed.co.uk/jobs/nursery-level-3-nursery-nurse/52260513
52098828,416128,Platform Recruitment ,,,Electrical Project Engineer,BN411DB,45000.0,55000.0,GBP,14/06/2024,08/02/2024,Electrical Project Engineer - Brighton - Up to 55k DOE I am working with a global design and manufacturing company who are now looking for a Senior Electrical Project Engineer to join their team on a permanent full time basis. The successful candidate with be responsible for developing the specification and design of electrical components/assemblies for their control systems. Responsibilities: - Support in creating and evaluating technical and c... ,11,https://www.reed.co.uk/jobs/electrical-project-engineer/52098828
52260512,402372,Anglian Water,,,Works Technician-Process Controller,Ely,27565.0,34457.0,GBP,04/04/2024,06/03/2024,"Water Recycling Process Operator (Works Technician Process Controller) Salary - 27,565 - 34,457 depending on skills as you progress with us standby allowance potential increased overtime rate for Saturday Sunday overtime) the benefit of a company van for business use Ely, Cambridgeshire Full Time / Permanent Hours - Our processes operate 24/7, whilst the working hours for this role are generally Monday - Friday, 08.00 - 16.00, we can offer flexi... ",1,https://www.reed.co.uk/jobs/works-technician-process-controller/52260512
52314017,350034,TLTP Education,,,Teaching Assistant,DA51AQ,160.0,210.0,GBP,26/04/2024,14/03/2024,"Year 4 Teacher Bexley TLTP are currently working with an OFSTED rated “Good” primary school in Bexley. The school are looking to recruit a Year 4 Teacher to start after half term until the end of the academic year, with the possibility of a permanent role at the end of the temporary assignment. *** Year 4 Teacher based in Bexley *** Planning and marking expected for this role *** QTS Required *** Experience in KS2 is essential Do you have experi... ",2,https://www.reed.co.uk/jobs/teaching-assistant/52314017
