source_id,job_title_name,experience_level,published,salary_min,salary_max,joboffer_url,currency_symbol,location_country,job_site,skills,categories,data_source_name
52254083,Care Assistant,Medium,2024-03-05,13,14,https://www.reed.co.uk/jobs/care-assistant/52254083,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52250137,Mortgage Advisor,Medium,2024-03-05,50000,100000,https://www.reed.co.uk/jobs/mortgage-advisor/52250137,GBP,United Kingdom,remote,['_NOTFOUND_'],['Other'],reed
52248855,Mental Health Nurse,Medium,2024-03-05,35420,35420,https://www.reed.co.uk/jobs/mental-health-nurse/52248855,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52242949,Sales Valuer,Medium,2024-03-04,40000,70000,https://www.reed.co.uk/jobs/sales-valuer/52242949,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52217312,Washrooms Service Technician,Medium,2024-02-29,25200,26200,https://www.reed.co.uk/jobs/washrooms-service-technician/52217312,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52214808,Mortgage Advisor,Medium,2024-02-28,70000,100000,https://www.reed.co.uk/jobs/mortgage-advisor/52214808,GBP,United Kingdom,remote,['_NOTFOUND_'],['Other'],reed
52214775,Financial Advisor,Medium,2024-02-28,50000,100000,https://www.reed.co.uk/jobs/financial-advisor/52214775,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52214709,Financial Advisor,Medium,2024-02-28,50000,100000,https://www.reed.co.uk/jobs/financial-advisor/52214709,GBP,United Kingdom,remote,['_NOTFOUND_'],['Other'],reed
52214698,Mortgage Advisor,Medium,2024-02-28,70000,100000,https://www.reed.co.uk/jobs/mortgage-advisor/52214698,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
51977235,Power BI Analyst with Advanced Excel,Medium,2024-01-18,35000,50000,https://www.reed.co.uk/jobs/power-bi-analyst-with-advanced-excel/51977235,GBP,United Kingdom,hybrid,"['BI', 'Excel']",['data analyst'],reed
52385426,CLASS 1 DRIVER,Medium,2024-03-27,17,20,https://www.reed.co.uk/jobs/class-1-driver/52385426,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52154788,Audit & Accounts Semi Senior,Senior,2024-02-19,38000,43000,https://www.reed.co.uk/jobs/audit-accounts-semi-senior/52154788,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
49810583,Senior Tax Manager,Senior,2023-02-16,70000,85000,https://www.reed.co.uk/jobs/senior-tax-manager/49810583,GBP,United Kingdom,hybrid,['excel'],['manager'],reed
50942302,Audit Semi Senior,Senior,2023-08-02,25000,38000,https://www.reed.co.uk/jobs/audit-semi-senior/50942302,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
50934197,Senior Accountant,Senior,2023-08-01,40000,48000,https://www.reed.co.uk/jobs/senior-accountant/50934197,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52366865,.Net Developer,Medium,2024-03-23,75000,90000,https://www.reed.co.uk/jobs/net-developer/52366865,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data engineer'],reed
52420868,Graduate Consultant,Medium,2024-04-04,27000,40000,https://www.reed.co.uk/jobs/graduate-consultant/52420868,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data analyst'],reed
50942144,Senior Accountant,Senior,2023-08-02,50000,55000,https://www.reed.co.uk/jobs/senior-accountant/50942144,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52385250,Legal Administration Manager,Medium,2024-03-27,32000,35000,https://www.reed.co.uk/jobs/legal-administration-manager/52385250,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52420798,Accountant - Hybrid working available,Medium,2024-04-04,52000,55000,https://www.reed.co.uk/jobs/accountant-hybrid-working-available/52420798,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
49810261,Tax Senior,Senior,2023-02-16,50000,60000,https://www.reed.co.uk/jobs/tax-senior/49810261,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52012148,Paraplanner Team Leader,Medium,2024-01-25,45000,50000,https://www.reed.co.uk/jobs/paraplanner-team-leader/52012148,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['Other'],reed
52385195,Duty Solicitor,Medium,2024-03-27,40000,50000,https://www.reed.co.uk/jobs/duty-solicitor/52385195,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52385174,Assistant Property Manager,Medium,2024-03-27,25000,28000,https://www.reed.co.uk/jobs/assistant-property-manager/52385174,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
49810169,Audit Assistant Manager,Medium,2023-02-16,45000,55000,https://www.reed.co.uk/jobs/audit-assistant-manager/49810169,GBP,United Kingdom,hybrid,['excel'],['database administrator'],reed
52385141,Duty Solicitor,Medium,2024-03-27,40000,50000,https://www.reed.co.uk/jobs/duty-solicitor/52385141,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52385060,Employment Solicitor,Medium,2024-03-27,40000,80000,https://www.reed.co.uk/jobs/employment-solicitor/52385060,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52385059,Employment Solicitor,Medium,2024-03-27,40000,80000,https://www.reed.co.uk/jobs/employment-solicitor/52385059,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52420595,Reccruitment Consultant,Medium,2024-04-04,28000,35000,https://www.reed.co.uk/jobs/reccruitment-consultant/52420595,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data analyst'],reed
51913351,Cooling Technology Sales Specialist,Medium,2024-01-09,50000,55000,https://www.reed.co.uk/jobs/cooling-technology-sales-specialist/51913351,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52420551,Showroom Host / Centre Support Assistant,Medium,2024-04-04,25000,28000,https://www.reed.co.uk/jobs/showroom-host-centre-support-assistant/52420551,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52384948,Family Solicitor,Medium,2024-03-27,40000,80000,https://www.reed.co.uk/jobs/family-solicitor/52384948,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52384934,Locum Band 6 Community MSK Physiotherapist - Luton - £28 p/h,Medium,2024-03-27,28,28,https://www.reed.co.uk/jobs/locum-band-6-community-msk-physiotherapist-luton-28-p-h/52384934,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52245547,Payroll Assistant,Medium,2024-03-04,28000,32000,https://www.reed.co.uk/jobs/payroll-assistant/52245547,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52420498,1st Line Technical Support - Helpdesk Engineer,Medium,2024-04-04,30000,30000,https://www.reed.co.uk/jobs/1st-line-technical-support-helpdesk-engineer/52420498,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data engineer'],reed
52420479,Interim Data Entry Clerk - Strong excel required,Medium,2024-04-04,25000,28000,https://www.reed.co.uk/jobs/interim-data-entry-clerk-strong-excel-required/52420479,GBP,United Kingdom,_notfound_,['excel'],['data administrator'],reed
52200876,SAP Basis Consultant,Medium,2024-02-26,300,400,https://www.reed.co.uk/jobs/sap-basis-consultant/52200876,GBP,United Kingdom,_notfound_,['SAP'],['data analyst'],reed
52360794,Accounts Assistant,Medium,2024-03-22,30000,30000,https://www.reed.co.uk/jobs/accounts-assistant/52360794,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['database administrator'],reed
52384714,Quantity Surveyor,Medium,2024-03-27,45000,45000,https://www.reed.co.uk/jobs/quantity-surveyor/52384714,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
50949357,Senior Accountant,Senior,2023-08-03,36000,45000,https://www.reed.co.uk/jobs/senior-accountant/50949357,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52384625,Data Migration Assistant,Medium,2024-03-27,12,15,https://www.reed.co.uk/jobs/data-migration-assistant/52384625,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['data administrator'],reed
52384619,PE Teacher in Barnet required,Medium,2024-03-27,34514,51179,https://www.reed.co.uk/jobs/pe-teacher-in-barnet-required/52384619,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52420224,IFA Client Support Associate,Medium,2024-04-04,35000,45000,https://www.reed.co.uk/jobs/ifa-client-support-associate/52420224,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52420218,Teaching Assistant,Medium,2024-04-04,80,100,https://www.reed.co.uk/jobs/teaching-assistant/52420218,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['database administrator'],reed
52420187,Administrator,Medium,2024-04-04,12,15,https://www.reed.co.uk/jobs/administrator/52420187,GBP,United Kingdom,hybrid,['_NOTFOUND_'],['data administrator'],reed
51922132,Treasury Manager,Medium,2024-01-10,55000,75000,https://www.reed.co.uk/jobs/treasury-manager/51922132,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['manager'],reed
52384464,Primary Supply Teacher,Medium,2024-03-27,165,165,https://www.reed.co.uk/jobs/primary-supply-teacher/52384464,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52420112,Primary Teacher,Medium,2024-04-04,31350,47839,https://www.reed.co.uk/jobs/primary-teacher/52420112,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52384427,Family Solicitor,Medium,2024-03-27,40000,80000,https://www.reed.co.uk/jobs/family-solicitor/52384427,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52384401,Geography Teacher,Medium,2024-03-27,150,230,https://www.reed.co.uk/jobs/geography-teacher/52384401,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
52384367,Year 5 Teacher,Medium,2024-03-27,31350,42689,https://www.reed.co.uk/jobs/year-5-teacher/52384367,GBP,United Kingdom,_notfound_,['_NOTFOUND_'],['Other'],reed
